LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList,Message
79,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '8.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1248).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['8.0', '27.0', '1248).', '2263']",Finished task 8.0 in stage 27.0 (TID 1248). 2263 bytes result sent to driver
80,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '6.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1246).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['6.0', '27.0', '1246).', '2220']",Finished task 6.0 in stage 27.0 (TID 1246). 2220 bytes result sent to driver
81,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '7.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1247).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['7.0', '27.0', '1247).', '2171']",Finished task 7.0 in stage 27.0 (TID 1247). 2171 bytes result sent to driver
82,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_10', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_10'],Found block rdd_42_10 locally
83,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '9.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1249).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['9.0', '27.0', '1249).', '2427']",Finished task 9.0 in stage 27.0 (TID 1249). 2427 bytes result sent to driver
84,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1251'],Got assigned task 1251
85,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '11.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1251)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['11.0', '27.0', '1251)']",Running task 11.0 in stage 27.0 (TID 1251)
86,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1252'],Got assigned task 1252
87,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '12.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1252)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['12.0', '27.0', '1252)']",Running task 12.0 in stage 27.0 (TID 1252)
88,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1253'],Got assigned task 1253
89,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '13.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1253)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['13.0', '27.0', '1253)']",Running task 13.0 in stage 27.0 (TID 1253)
90,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1254'],Got assigned task 1254
91,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '14.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1254)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['14.0', '27.0', '1254)']",Running task 14.0 in stage 27.0 (TID 1254)
92,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_11', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_11'],Found block rdd_42_11 locally
93,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_12', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_12'],Found block rdd_42_12 locally
94,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_13', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_13'],Found block rdd_42_13 locally
95,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_14', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_14'],Found block rdd_42_14 locally
96,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '14', '25', '1']","Times: total = 40, boot = 14, init = 25, finish = 1"
97,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '10.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1250).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['10.0', '27.0', '1250).', '2667']",Finished task 10.0 in stage 27.0 (TID 1250). 2667 bytes result sent to driver
98,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1255'],Got assigned task 1255
99,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '15.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1255)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['15.0', '27.0', '1255)']",Running task 15.0 in stage 27.0 (TID 1255)
100,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['39', '12', '26', '1']","Times: total = 39, boot = 12, init = 26, finish = 1"
101,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '13', '28', '1']","Times: total = 42, boot = 13, init = 28, finish = 1"
102,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '10', '29', '1']","Times: total = 40, boot = 10, init = 29, finish = 1"
103,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '11.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1251).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['11.0', '27.0', '1251).', '2402']",Finished task 11.0 in stage 27.0 (TID 1251). 2402 bytes result sent to driver
104,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '12.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1252).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['12.0', '27.0', '1252).', '2486']",Finished task 12.0 in stage 27.0 (TID 1252). 2486 bytes result sent to driver
105,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '11', '29', '1']","Times: total = 41, boot = 11, init = 29, finish = 1"
106,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_15', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_15'],Found block rdd_42_15 locally
107,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '14.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1254).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['14.0', '27.0', '1254).', '2404']",Finished task 14.0 in stage 27.0 (TID 1254). 2404 bytes result sent to driver
108,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1256'],Got assigned task 1256
109,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '16.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1256)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['16.0', '27.0', '1256)']",Running task 16.0 in stage 27.0 (TID 1256)
110,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1257'],Got assigned task 1257
111,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '13.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1253).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['13.0', '27.0', '1253).', '2522']",Finished task 13.0 in stage 27.0 (TID 1253). 2522 bytes result sent to driver
112,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '17.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1257)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['17.0', '27.0', '1257)']",Running task 17.0 in stage 27.0 (TID 1257)
113,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1258'],Got assigned task 1258
114,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '18.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1258)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['18.0', '27.0', '1258)']",Running task 18.0 in stage 27.0 (TID 1258)
115,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1259'],Got assigned task 1259
116,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '19.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1259)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['19.0', '27.0', '1259)']",Running task 19.0 in stage 27.0 (TID 1259)
117,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_16', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_16'],Found block rdd_42_16 locally
118,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_17', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_17'],Found block rdd_42_17 locally
119,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_19', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_19'],Found block rdd_42_19 locally
120,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_18', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_18'],Found block rdd_42_18 locally
121,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '19', '22', '1']","Times: total = 42, boot = 19, init = 22, finish = 1"
122,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '15.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1255).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['15.0', '27.0', '1255).', '2523']",Finished task 15.0 in stage 27.0 (TID 1255). 2523 bytes result sent to driver
123,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['39', '15', '24', '0']","Times: total = 39, boot = 15, init = 24, finish = 0"
124,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1260'],Got assigned task 1260
125,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '20.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1260)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['20.0', '27.0', '1260)']",Running task 20.0 in stage 27.0 (TID 1260)
126,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '16.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1256).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['16.0', '27.0', '1256).', '2171']",Finished task 16.0 in stage 27.0 (TID 1256). 2171 bytes result sent to driver
127,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '14', '26', '0']","Times: total = 40, boot = 14, init = 26, finish = 0"
128,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['39', '13', '25', '1']","Times: total = 39, boot = 13, init = 25, finish = 1"
129,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_20', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_20'],Found block rdd_42_20 locally
130,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1261'],Got assigned task 1261
131,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '21.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1261)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['21.0', '27.0', '1261)']",Running task 21.0 in stage 27.0 (TID 1261)
132,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '19.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1259).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['19.0', '27.0', '1259).', '2517']",Finished task 19.0 in stage 27.0 (TID 1259). 2517 bytes result sent to driver
133,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '17.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1257).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['17.0', '27.0', '1257).', '2128']",Finished task 17.0 in stage 27.0 (TID 1257). 2128 bytes result sent to driver
134,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '16', '25', '1']","Times: total = 42, boot = 16, init = 25, finish = 1"
135,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '18.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1258).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['18.0', '27.0', '1258).', '2349']",Finished task 18.0 in stage 27.0 (TID 1258). 2349 bytes result sent to driver
136,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1262'],Got assigned task 1262
137,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '22.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1262)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['22.0', '27.0', '1262)']",Running task 22.0 in stage 27.0 (TID 1262)
138,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1263'],Got assigned task 1263
139,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_21', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_21'],Found block rdd_42_21 locally
140,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '23.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1263)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['23.0', '27.0', '1263)']",Running task 23.0 in stage 27.0 (TID 1263)
141,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1264'],Got assigned task 1264
142,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '24.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1264)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['24.0', '27.0', '1264)']",Running task 24.0 in stage 27.0 (TID 1264)
143,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_22', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_22'],Found block rdd_42_22 locally
144,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_24', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_24'],Found block rdd_42_24 locally
145,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_23', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_23'],Found block rdd_42_23 locally
146,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '17', '22', '1']","Times: total = 40, boot = 17, init = 22, finish = 1"
147,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '20.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1260).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['20.0', '27.0', '1260).', '2355']",Finished task 20.0 in stage 27.0 (TID 1260). 2355 bytes result sent to driver
148,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '19', '21', '1']","Times: total = 41, boot = 19, init = 21, finish = 1"
149,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1265'],Got assigned task 1265
150,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '25.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1265)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['25.0', '27.0', '1265)']",Running task 25.0 in stage 27.0 (TID 1265)
151,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '21.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1261).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['21.0', '27.0', '1261).', '2486']",Finished task 21.0 in stage 27.0 (TID 1261). 2486 bytes result sent to driver
152,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '14', '25', '2']","Times: total = 41, boot = 14, init = 25, finish = 2"
153,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '11', '29', '1']","Times: total = 41, boot = 11, init = 29, finish = 1"
154,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1266'],Got assigned task 1266
155,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '26.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1266)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['26.0', '27.0', '1266)']",Running task 26.0 in stage 27.0 (TID 1266)
156,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '19', '21', '1']","Times: total = 41, boot = 19, init = 21, finish = 1"
157,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_25', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_25'],Found block rdd_42_25 locally
158,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '22.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1262).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['22.0', '27.0', '1262).', '2171']",Finished task 22.0 in stage 27.0 (TID 1262). 2171 bytes result sent to driver
159,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '24.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1264).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['24.0', '27.0', '1264).', '2592']",Finished task 24.0 in stage 27.0 (TID 1264). 2592 bytes result sent to driver
160,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '23.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1263).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['23.0', '27.0', '1263).', '2385']",Finished task 23.0 in stage 27.0 (TID 1263). 2385 bytes result sent to driver
161,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_26', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_26'],Found block rdd_42_26 locally
162,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1267'],Got assigned task 1267
