LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,ParameterList,Message
114,-,1129864798,2005.10.20,R04-M0-NC-I:J18-U11,2005-10-20-20.19.58.037602,R04-M0-NC-I:J18-U11,RAS,KERNEL,INFO,"['ciod', ':', ' ', 'generated', ' ', '<*>', ' ', 'core', ' ', 'files', ' ', 'for', ' ', 'program', ' ', '/home/rfisher/sodscaling/flash2']",11b69b8b,ciod: generated <*> core files for program <*>,"['64', '/home/rfisher/sodscaling/flash2']",ciod: generated 64 core files for program /home/rfisher/sodscaling/flash2
115,-,1129897177,2005.10.21,R07-M1-N0-C:J17-U01,2005-10-21-05.19.37.093437,R07-M1-N0-C:J17-U01,RAS,KERNEL,INFO,"['total', ' ', 'of', ' ', '<*>', ' ', 'ddr', ' ', 'error(s)', ' ', 'detected', ' ', 'and', ' ', 'corrected']",147cfcff,total of <*> ddr error(s) detected and corrected,['1'],total of 1 ddr error(s) detected and corrected
116,-,1130123101,2005.10.23,R21-M1-N0-C:J10-U11,2005-10-23-20.05.01.813190,R21-M1-N0-C:J10-U11,RAS,KERNEL,INFO,"['<*>', ' ', 'ddr', ' ', 'errors(s)', ' ', 'detected', ' ', 'and', ' ', 'corrected', ' ', 'on', ' ', 'rank', ' ', '<*>', ',', ' ', 'symbol', ' ', '<*>', ',', ' ', 'bit', ' ', '<*>']",1840cbfe,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>","['1', '0', '17', '7']","1 ddr errors(s) detected and corrected on rank 0, symbol 17, bit 7"
117,-,1130251536,2005.10.25,R46-M0-NC-I:J18-U11,2005-10-25-07.45.36.124897,R46-M0-NC-I:J18-U11,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'loading', ' ', 'allreduce_int_V1R1.rts', ':', ' ', 'invalid', ' ', 'or', ' ', 'missing', ' ', 'program', ' ', 'image', ',', ' ', 'No', ' ', 'such', ' ', 'file', ' ', 'or', ' ', 'directory']",6f3620a4,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",['allreduce_int_V1R1.rts'],"ciod: Error loading allreduce_int_V1R1.rts: invalid or missing program image, No such file or directory"
118,-,1130255740,2005.10.25,R11-M1-N2-C:J09-U11,2005-10-25-08.55.40.146416,R11-M1-N2-C:J09-U11,RAS,KERNEL,INFO,"['critical', ' ', 'input', ' ', 'interrupt', ' ', '(unit', '=', '0x0b', ' ', 'bit', '=', '0x0b)', ':', ' ', 'warning', ' ', 'for', ' ', 'torus', ' ', 'z-', ' ', 'wire']",e8d9174d,critical input interrupt (unit=0x0b bit=<*>: warning for torus <*> wire,"['0x0b)', 'z-']",critical input interrupt (unit=0x0b bit=0x0b): warning for torus z- wire
119,-,1130479310,2005.10.27,R55-M0-N9-C:J06-U11,2005-10-27-23.01.50.720520,R55-M0-N9-C:J06-U11,RAS,KERNEL,INFO,"['<*>', ' ', 'tree', ' ', 'receiver', ' ', '<*>', ' ', 'in', ' ', 're-synch', ' ', 'state', ' ', 'event(s)', ' ', '(dcr', ' ', '0x019a)', ' ', 'detected']",0abbf6c0,<*> tree receiver <*> in re-synch state event(s) (dcr 0x019a) detected,"['16', '2']",16 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected
120,KERNTERM,1130529580,2005.10.28,R63-M1-NF-C:J15-U11,2005-10-28-12.59.40.203147,R63-M1-NF-C:J15-U11,RAS,KERNEL,FATAL,"['rts', ':', ' ', 'kernel', ' ', 'terminated', ' ', 'for', ' ', 'reason', ' ', '<*>']",130bb340,rts: kernel terminated for reason <*>,['1004'],rts: kernel terminated for reason 1004
121,KERNREC,1130529611,2005.10.28,R63-M1-N5-C:J17-U01,2005-10-28-13.00.11.719498,R63-M1-N5-C:J17-U01,RAS,KERNEL,FATAL,"['Error', ' ', 'receiving', ' ', 'packet', ' ', 'on', ' ', 'tree', ' ', 'network', ',', ' ', 'expecting', ' ', 'type', ' ', '<*>', ' ', 'instead', ' ', 'of', ' ', 'type', ' ', '<*>', ' ', '(softheader', '=', '<*>', ' ', '<*>', ' ', '<*>', ' ', '00000000)', ' ', 'PSR0', '=', '<*>', ' ', 'PSR1', '=', '<*>', ' ', 'PRXF', '=', '<*>', ' ', 'PIXF', '=', '<*>']",63afc906,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> 00000000) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>","['57', '3', '0064588e', '8aff0003', '00000002', '00001f01', '00000000', '00000002', '00000007']","Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007"
122,-,1130645609,2005.10.29,R06-M0-N9-C:J02-U01,2005-10-29-21.13.29.183062,R06-M0-N9-C:J02-U01,RAS,KERNEL,INFO,"['CE', ' ', 'sym', ' ', '<*>', ',', ' ', 'at', ' ', '0x1b719940', ',', ' ', 'mask', ' ', '0x02']",65f23e3e,"CE sym <*>, at <*>, mask <*>","['29', '0x1b719940', '0x02']","CE sym 29, at 0x1b719940, mask 0x02"
123,-,1130675804,2005.10.30,R65-M1-NA-C:J14-U01,2005-10-30-04.36.44.005858,R65-M1-NA-C:J14-U01,RAS,KERNEL,INFO,"['CE', ' ', 'sym', ' ', '<*>', ',', ' ', 'at', ' ', '0x1b70b860', ',', ' ', 'mask', ' ', '0x80']",65f23e3e,"CE sym <*>, at <*>, mask <*>","['27', '0x1b70b860', '0x80']","CE sym 27, at 0x1b70b860, mask 0x80"
124,-,1130688037,2005.10.30,R26-M0-N4-I:J18-U11,2005-10-30-08.00.37.655705,R26-M0-N4-I:J18-U11,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'loading', ' ', '/home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm', ':', ' ', 'invalid', ' ', 'or', ' ', 'missing', ' ', 'program', ' ', 'image', ',', ' ', 'Permission', ' ', 'denied']",62adcf76,"ciod: Error loading <*>: invalid or missing program image, Permission denied",['/home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm'],"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm: invalid or missing program image, Permission denied"
125,-,1130766712,2005.10.31,R10-M0-N3-C:J07-U01,2005-10-31-05.51.52.778656,R10-M0-N3-C:J07-U01,RAS,KERNEL,INFO,"['CE', ' ', 'sym', ' ', '<*>', ',', ' ', 'at', ' ', '0x18fa5d40', ',', ' ', 'mask', ' ', '0x80']",65f23e3e,"CE sym <*>, at <*>, mask <*>","['16', '0x18fa5d40', '0x80']","CE sym 16, at 0x18fa5d40, mask 0x80"
126,-,1130770293,2005.10.31,R74-M1-NC-C:J15-U11,2005-10-31-06.51.33.260350,R74-M1-NC-C:J15-U11,RAS,KERNEL,INFO,"['<*>', ' ', 'ddr', ' ', 'errors(s)', ' ', 'detected', ' ', 'and', ' ', 'corrected', ' ', 'on', ' ', 'rank', ' ', '<*>', ',', ' ', 'symbol', ' ', '<*>', ',', ' ', 'bit', ' ', '<*>']",1840cbfe,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>","['4', '0', '24', '1']","4 ddr errors(s) detected and corrected on rank 0, symbol 24, bit 1"
127,-,1130840276,2005.11.01,R20-M1-NF-C:J10-U01,2005-11-01-02.17.56.853469,R20-M1-NF-C:J10-U01,RAS,KERNEL,INFO,"['instruction', ' ', 'cache', ' ', 'parity', ' ', 'error', ' ', 'corrected']",3aa50e45,instruction cache parity error corrected,[],instruction cache parity error corrected
128,-,1131019038,2005.11.03,R27-M1-N8-C:J16-U11,2005-11-03-03.57.18.815377,R27-M1-N8-C:J16-U11,RAS,KERNEL,INFO,"['CE', ' ', 'sym', ' ', '<*>', ',', ' ', 'at', ' ', '0x1bd2b700', ',', ' ', 'mask', ' ', '0x04']",65f23e3e,"CE sym <*>, at <*>, mask <*>","['30', '0x1bd2b700', '0x04']","CE sym 30, at 0x1bd2b700, mask 0x04"
129,-,1131030168,2005.11.03,R54-M1-N8-I:J18-U01,2005-11-03-07.02.48.152436,R54-M1-N8-I:J18-U01,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'loading', ' ', '/g/g0/spelce1/HPCC_IBM/Urgent/COP/64K/RandomAccess.64R.rts', ':', ' ', 'invalid', ' ', 'or', ' ', 'missing', ' ', 'program', ' ', 'image', ',', ' ', 'Permission', ' ', 'denied']",62adcf76,"ciod: Error loading <*>: invalid or missing program image, Permission denied",['/g/g0/spelce1/HPCC_IBM/Urgent/COP/64K/RandomAccess.64R.rts'],"ciod: Error loading /g/g0/spelce1/HPCC_IBM/Urgent/COP/64K/RandomAccess.64R.rts: invalid or missing program image, Permission denied"
130,-,1131036240,2005.11.03,R06-M0-NC-I:J18-U11,2005-11-03-08.44.00.733074,R06-M0-NC-I:J18-U11,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'loading', ' ', '/home.old/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDGbglV', ':', ' ', 'invalid', ' ', 'or', ' ', 'missing', ' ', 'program', ' ', 'image', ',', ' ', 'No', ' ', 'such', ' ', 'file', ' ', 'or', ' ', 'directory']",6f3620a4,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",['/home.old/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDGbglV'],"ciod: Error loading /home.old/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDGbglV: invalid or missing program image, No such file or directory"
131,-,1131036466,2005.11.03,R15-M0-NC-I:J18-U11,2005-11-03-08.47.46.669663,R15-M0-NC-I:J18-U11,RAS,APP,FATAL,"['ciod', ':', ' ', 'Error', ' ', 'loading', ' ', '/home.old/glosli/src/ddcMD/ddcMD1.1.18a/bin/ddcMDGbglV', ':', ' ', 'invalid', ' ', 'or', ' ', 'missing', ' ', 'program', ' ', 'image', ',', ' ', 'No', ' ', 'such', ' ', 'file', ' ', 'or', ' ', 'directory']",6f3620a4,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",['/home.old/glosli/src/ddcMD/ddcMD1.1.18a/bin/ddcMDGbglV'],"ciod: Error loading /home.old/glosli/src/ddcMD/ddcMD1.1.18a/bin/ddcMDGbglV: invalid or missing program image, No such file or directory"
132,-,1131057830,2005.11.03,R60-M0-NE-C:J08-U11,2005-11-03-14.43.50.771087,R60-M0-NE-C:J08-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '<*>']",1b700d02,iar <*> dear <*>,"['00106210', '0244c1dc']",iar 00106210 dear 0244c1dc
133,-,1131057844,2005.11.03,R61-M1-NB-C:J17-U11,2005-11-03-14.44.04.612936,R61-M1-NB-C:J17-U11,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['640404'],640404 floating point alignment exceptions
134,-,1131057860,2005.11.03,R61-M0-N3-C:J12-U11,2005-11-03-14.44.20.274649,R61-M0-N3-C:J12-U11,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['640404'],640404 floating point alignment exceptions
135,-,1131057877,2005.11.03,R60-M1-NC-C:J10-U11,2005-11-03-14.44.37.862831,R60-M1-NC-C:J10-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1dc']",1b700d02,iar <*> dear <*>,"['00106210', '0244c1dc']",iar 00106210 dear 0244c1dc
136,-,1131057899,2005.11.03,R61-M0-NC-C:J03-U11,2005-11-03-14.44.59.509719,R61-M0-NC-C:J03-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c20c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c20c']",iar 00106210 dear 0244c20c
137,-,1131057913,2005.11.03,R65-M1-NB-C:J14-U01,2005-11-03-14.45.13.427392,R65-M1-NB-C:J14-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1ec']",1b700d02,iar <*> dear <*>,"['00106228', '0244c1ec']",iar 00106228 dear 0244c1ec
138,-,1131057950,2005.11.03,R64-M0-N6-C:J17-U11,2005-11-03-14.45.50.094903,R64-M0-N6-C:J17-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c20c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c20c']",iar 00106210 dear 0244c20c
139,-,1131057996,2005.11.03,R61-M1-N5-C:J13-U11,2005-11-03-14.46.36.274147,R61-M1-N5-C:J13-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c20c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c20c']",iar 00106210 dear 0244c20c
140,-,1131058041,2005.11.03,R65-M1-N6-C:J11-U01,2005-11-03-14.47.21.714965,R65-M1-N6-C:J11-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1ec']",1b700d02,iar <*> dear <*>,"['00106228', '0244c1ec']",iar 00106228 dear 0244c1ec
141,-,1131058087,2005.11.03,R60-M1-N3-C:J11-U01,2005-11-03-14.48.07.486751,R60-M1-N3-C:J11-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1ec']",1b700d02,iar <*> dear <*>,"['00106228', '0244c1ec']",iar 00106228 dear 0244c1ec
142,-,1131058115,2005.11.03,R66-M0-NF-C:J12-U01,2005-11-03-14.48.35.040947,R66-M0-NF-C:J12-U01,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['640404'],640404 floating point alignment exceptions
143,-,1131058125,2005.11.03,R61-M0-N1-C:J05-U11,2005-11-03-14.48.45.760239,R61-M0-N1-C:J05-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c21c']",1b700d02,iar <*> dear <*>,"['00106228', '0244c21c']",iar 00106228 dear 0244c21c
144,-,1131058168,2005.11.03,R64-M1-N5-C:J10-U11,2005-11-03-14.49.28.162764,R64-M1-N5-C:J10-U11,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c22c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c22c']",iar 001061dc dear 0244c22c
145,-,1131058170,2005.11.03,R64-M1-N9-C:J15-U11,2005-11-03-14.49.30.411659,R64-M1-N9-C:J15-U11,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c22c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c22c']",iar 001061dc dear 0244c22c
146,-,1131058219,2005.11.03,R60-M0-N1-C:J14-U01,2005-11-03-14.50.19.824448,R60-M0-N1-C:J14-U01,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c25c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c25c']",iar 001061dc dear 0244c25c
147,-,1131058229,2005.11.03,R61-M0-N9-C:J04-U01,2005-11-03-14.50.29.243970,R61-M0-N9-C:J04-U01,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c22c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c22c']",iar 001061dc dear 0244c22c
148,-,1131058249,2005.11.03,R66-M1-N8-C:J12-U01,2005-11-03-14.50.49.805068,R66-M1-N8-C:J12-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1ec']",1b700d02,iar <*> dear <*>,"['00106228', '0244c1ec']",iar 00106228 dear 0244c1ec
149,-,1131058316,2005.11.03,R65-M0-N1-C:J04-U01,2005-11-03-14.51.56.723449,R65-M0-N1-C:J04-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c20c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c20c']",iar 00106210 dear 0244c20c
150,-,1131058319,2005.11.03,R67-M0-ND-C:J03-U01,2005-11-03-14.51.59.126492,R67-M0-ND-C:J03-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1ec']",1b700d02,iar <*> dear <*>,"['00106228', '0244c1ec']",iar 00106228 dear 0244c1ec
151,-,1131058388,2005.11.03,R66-M0-N5-C:J04-U11,2005-11-03-14.53.08.510509,R66-M0-N5-C:J04-U11,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c22c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c22c']",iar 001061dc dear 0244c22c
152,-,1131058399,2005.11.03,R64-M1-N7-C:J16-U11,2005-11-03-14.53.19.794119,R64-M1-N7-C:J16-U11,RAS,KERNEL,INFO,"['iar', ' ', '00105ea0', ' ', 'dear', ' ', '0244c28c']",1b700d02,iar <*> dear <*>,"['00105ea0', '0244c28c']",iar 00105ea0 dear 0244c28c
153,-,1131058409,2005.11.03,R60-M1-NF-C:J12-U11,2005-11-03-14.53.29.339977,R60-M1-NF-C:J12-U11,RAS,KERNEL,INFO,"['iar', ' ', '00105e94', ' ', 'dear', ' ', '02f5883c']",1b700d02,iar <*> dear <*>,"['00105e94', '02f5883c']",iar 00105e94 dear 02f5883c
154,-,1131058417,2005.11.03,R66-M0-N8-C:J11-U01,2005-11-03-14.53.37.642554,R66-M0-N8-C:J11-U01,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c22c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c22c']",iar 001061dc dear 0244c22c
155,-,1131058477,2005.11.03,R65-M0-N4-C:J11-U11,2005-11-03-14.54.37.592074,R65-M0-N4-C:J11-U11,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c28c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c28c']",iar 001061dc dear 0244c28c
156,-,1131059142,2005.11.03,R66-M1-N3-C:J06-U11,2005-11-03-15.05.42.754713,R66-M1-N3-C:J06-U11,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['640764'],640764 floating point alignment exceptions
157,-,1131059158,2005.11.03,R67-M0-N8-C:J02-U01,2005-11-03-15.05.58.736742,R67-M0-N8-C:J02-U01,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['640404'],640404 floating point alignment exceptions
158,-,1131059209,2005.11.03,R66-M0-N5-C:J12-U11,2005-11-03-15.06.49.830610,R66-M0-N5-C:J12-U11,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['640404'],640404 floating point alignment exceptions
159,-,1131059244,2005.11.03,R67-M0-NC-C:J16-U01,2005-11-03-15.07.24.046955,R67-M0-NC-C:J16-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c20c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c20c']",iar 00106210 dear 0244c20c
160,-,1131059251,2005.11.03,R66-M0-NC-C:J13-U01,2005-11-03-15.07.31.811477,R66-M0-NC-C:J13-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1dc']",1b700d02,iar <*> dear <*>,"['00106210', '0244c1dc']",iar 00106210 dear 0244c1dc
161,-,1131059283,2005.11.03,R67-M1-ND-C:J10-U11,2005-11-03-15.08.03.331945,R67-M1-ND-C:J10-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c21c']",1b700d02,iar <*> dear <*>,"['00106228', '0244c21c']",iar 00106228 dear 0244c21c
162,-,1131059308,2005.11.03,R66-M1-N5-C:J14-U11,2005-11-03-15.08.28.067991,R66-M1-N5-C:J14-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c1dc']",1b700d02,iar <*> dear <*>,"['00106210', '0244c1dc']",iar 00106210 dear 0244c1dc
163,-,1131059401,2005.11.03,R66-M0-N0-C:J07-U01,2005-11-03-15.10.01.251362,R66-M0-N0-C:J07-U01,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c25c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c25c']",iar 001061dc dear 0244c25c
164,-,1131059444,2005.11.03,R66-M1-N9-C:J03-U11,2005-11-03-15.10.44.315723,R66-M1-N9-C:J03-U11,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c22c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c22c']",iar 001061dc dear 0244c22c
165,-,1131059530,2005.11.03,R66-M1-N0-C:J17-U01,2005-11-03-15.12.10.253142,R66-M1-N0-C:J17-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c21c']",1b700d02,iar <*> dear <*>,"['00106228', '0244c21c']",iar 00106228 dear 0244c21c
166,-,1131059594,2005.11.03,R66-M0-N4-C:J02-U01,2005-11-03-15.13.14.342761,R66-M0-N4-C:J02-U01,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c28c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c28c']",iar 001061dc dear 0244c28c
167,-,1131059607,2005.11.03,R67-M0-N5-C:J04-U11,2005-11-03-15.13.27.784212,R67-M0-N5-C:J04-U11,RAS,KERNEL,INFO,"['iar', ' ', '001061dc', ' ', 'dear', ' ', '0244c28c']",1b700d02,iar <*> dear <*>,"['001061dc', '0244c28c']",iar 001061dc dear 0244c28c
168,-,1131059636,2005.11.03,R66-M1-ND-C:J14-U11,2005-11-03-15.13.56.350902,R66-M1-ND-C:J14-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c23c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c23c']",iar 00106210 dear 0244c23c
169,-,1131059653,2005.11.03,R67-M1-N8-C:J16-U01,2005-11-03-15.14.13.999389,R67-M1-N8-C:J16-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c23c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c23c']",iar 00106210 dear 0244c23c
170,-,1131059658,2005.11.03,R66-M0-N4-C:J16-U01,2005-11-03-15.14.18.909332,R66-M0-N4-C:J16-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c26c']",1b700d02,iar <*> dear <*>,"['00106210', '0244c26c']",iar 00106210 dear 0244c26c
171,-,1131059703,2005.11.03,R67-M0-N2-C:J07-U11,2005-11-03-15.15.03.617956,R67-M0-N2-C:J07-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c24c']",1b700d02,iar <*> dear <*>,"['00106228', '0244c24c']",iar 00106228 dear 0244c24c
172,-,1131059744,2005.11.03,R67-M1-N8-C:J10-U11,2005-11-03-15.15.44.150398,R67-M1-N8-C:J10-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c27c']",1b700d02,iar <*> dear <*>,"['00106228', '0244c27c']",iar 00106228 dear 0244c27c
173,-,1131059757,2005.11.03,R67-M1-N0-C:J09-U11,2005-11-03-15.15.57.061077,R67-M1-N0-C:J09-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c27c']",1b700d02,iar <*> dear <*>,"['00106228', '0244c27c']",iar 00106228 dear 0244c27c
174,-,1131059774,2005.11.03,R67-M0-N1-C:J03-U11,2005-11-03-15.16.14.637454,R67-M0-N1-C:J03-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '0244c27c']",1b700d02,iar <*> dear <*>,"['00106228', '0244c27c']",iar 00106228 dear 0244c27c
175,-,1131060122,2005.11.03,R67-M1-NA-C:J13-U01,2005-11-03-15.22.02.358932,R67-M1-NA-C:J13-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494bbc']",1b700d02,iar <*> dear <*>,"['00106568', '02494bbc']",iar 00106568 dear 02494bbc
176,-,1131060130,2005.11.03,R67-M1-NF-C:J10-U01,2005-11-03-15.22.10.405323,R67-M1-NF-C:J10-U01,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['487476'],487476 floating point alignment exceptions
177,-,1131060157,2005.11.03,R66-M1-NB-C:J17-U01,2005-11-03-15.22.37.393511,R66-M1-NB-C:J17-U01,RAS,KERNEL,INFO,"['<*>', ' ', 'floating', ' ', 'point', ' ', 'alignment', ' ', 'exceptions']",1ae4a1e2,<*> floating point alignment exceptions,['487476'],487476 floating point alignment exceptions
178,-,1131060196,2005.11.03,R67-M1-NA-C:J03-U11,2005-11-03-15.23.16.963770,R67-M1-NA-C:J03-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494bcc']",1b700d02,iar <*> dear <*>,"['00106580', '02494bcc']",iar 00106580 dear 02494bcc
179,-,1131060202,2005.11.03,R67-M0-N6-C:J04-U01,2005-11-03-15.23.22.213145,R67-M0-N6-C:J04-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494bbc']",1b700d02,iar <*> dear <*>,"['00106568', '02494bbc']",iar 00106568 dear 02494bbc
180,-,1131060268,2005.11.03,R67-M0-N1-C:J11-U01,2005-11-03-15.24.28.446530,R67-M0-N1-C:J11-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494bcc']",1b700d02,iar <*> dear <*>,"['00106580', '02494bcc']",iar 00106580 dear 02494bcc
181,-,1131060284,2005.11.03,R66-M0-NA-C:J03-U11,2005-11-03-15.24.44.675679,R66-M0-NA-C:J03-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494c0c']",1b700d02,iar <*> dear <*>,"['00106534', '02494c0c']",iar 00106534 dear 02494c0c
182,-,1131060319,2005.11.03,R66-M0-N7-C:J08-U01,2005-11-03-15.25.19.549536,R66-M0-N7-C:J08-U01,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494c0c']",1b700d02,iar <*> dear <*>,"['00106534', '02494c0c']",iar 00106534 dear 02494c0c
183,-,1131060387,2005.11.03,R67-M0-N6-C:J03-U11,2005-11-03-15.26.27.238003,R67-M0-N6-C:J03-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494bfc']",1b700d02,iar <*> dear <*>,"['00106580', '02494bfc']",iar 00106580 dear 02494bfc
184,-,1131060429,2005.11.03,R66-M1-NA-C:J15-U11,2005-11-03-15.27.09.727930,R66-M1-NA-C:J15-U11,RAS,KERNEL,INFO,"['iar', ' ', '<*>', ' ', 'dear', ' ', '02494bec']",1b700d02,iar <*> dear <*>,"['00106568', '02494bec']",iar 00106568 dear 02494bec
